Name,State Land,Latitude,Longitude,Address,Town,County,,
South Creek Lake Campsite,Aldrich Pond Wild Forest,44.11950576,-75.21758162,98 Powell Rd,Fine,St. Lawrence,,
Streeter Lake Lean-To,Aldrich Pond Wild Forest,44.10708943,-75.06744485,407 Youngs Rd,Fine,St. Lawrence,,Note: Street address is nearest address in NY Street Address Management System.
Streeter Lake Road Campsite #10,Aldrich Pond Wild Forest,44.11594906,-75.09336638,677 Coffin Mills Rd,Fine,St. Lawrence,,"Most campsites do not have 911 addresses, especially those in the back country,"
Streeter Lake Road Campsite #11,Aldrich Pond Wild Forest,44.1159473,-75.09263011,677 Coffin Mills Rd,Fine,St. Lawrence,,"and as such the address may be a ways from the actual campsite, and may not "
Streeter Lake Road Campsite #12,Aldrich Pond Wild Forest,44.11395065,-75.07568443,407 Youngs Rd,Fine,St. Lawrence,,reflect the public access or parking closest to the campsite.
Streeter Lake Road Campsite #14,Aldrich Pond Wild Forest,44.1139566,-75.0752919,407 Youngs Rd,Fine,St. Lawrence,,
Streeter Lake Road Campsite #15,Aldrich Pond Wild Forest,44.11426673,-75.07316784,407 Youngs Rd,Fine,St. Lawrence,,
Streeter Lake Road Campsite #3,Aldrich Pond Wild Forest,44.13290699,-75.11651895,51 Aldrich Rd,Fine,St. Lawrence,,
Streeter Lake Road Campsite #4,Aldrich Pond Wild Forest,44.13166278,-75.11586181,51 Aldrich Rd,Fine,St. Lawrence,,
Streeter Lake Road Campsite #5,Aldrich Pond Wild Forest,44.12453565,-75.11668416,51 Aldrich Rd,Fine,St. Lawrence,,
Streeter Lake Road Campsite #6,Aldrich Pond Wild Forest,44.12242374,-75.10600006,3 Aldrich Rd,Fine,St. Lawrence,,
Streeter Lake Road Campsite #7,Aldrich Pond Wild Forest,44.12080268,-75.1057593,3 Aldrich Rd,Fine,St. Lawrence,,
Streeter Lake Road Campsite #8,Aldrich Pond Wild Forest,44.11675172,-75.10559364,3 Aldrich Rd,Fine,St. Lawrence,,
Streeter Lake Road Campsite #9,Aldrich Pond Wild Forest,44.11621594,-75.09286154,677 Coffin Mills Rd,Fine,St. Lawrence,,
Campsite,Ampersand Primitive Area,44.195576,-74.2698842,126 Stony Creek Rd AOR,Harrietstown,Franklin,,
Campsite,Ampersand Primitive Area,44.1977249,-74.282219,126 Stony Creek Rd AOR,Harrietstown,Franklin,,
Campsite,Ampersand Primitive Area,44.1967616,-74.2991061,269 Coreys Rd,Harrietstown,Franklin,,
Coreys Road Site 10,Ampersand Primitive Area,44.19676354,-74.27023755,126 Stony Creek Rd AOR,Harrietstown,Franklin,,
Coreys Road Site 2,Ampersand Primitive Area,44.20166547,-74.31657726,347 Coreys Rd,Harrietstown,Franklin,,
Coreys Road Site 3,Ampersand Primitive Area,44.20005588,-74.31133925,347 Coreys Rd,Harrietstown,Franklin,,
Coreys Road Site 7,Ampersand Primitive Area,44.19753967,-74.29472017,269 Coreys Rd,Harrietstown,Franklin,,
Coreys Road Site 8,Ampersand Primitive Area,44.19745089,-74.28475655,126 Stony Creek Rd AOR,Harrietstown,Franklin,,
A-40 Lean-To,Arctic China State Forest,42.15849135,-75.3620266,9236 State Highway 8,Deposit,Delaware,,
